"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"ruu_rate",0.9994,1.8736,2.3045,2.2721," avg RUU dispatch rate (insn/cycle)",0.9994,2.3045,1.3051,0.607783113728354,0.465698501056129
"lsq_rate",0.9994,1.8736,2.3045,2.2721," avg LSQ dispatch rate (insn/cycle)",0.9994,2.3045,1.3051,0.607783113728354,0.465698501056129
"avg_rename_access",0.9994,1.8736,2.3045,2.2721," avg number accesses of rename unit",0.9994,2.3045,1.3051,0.607783113728354,0.465698501056129
"avg_dcache2_access",0.0029,0.0054,0.0064,0.0063," avg number accesses of dcache2",0.0029,0.0064,0.0035,0.00162992842378635,0.46569383536753
"avg_icache_access",1.0227,1.9149,2.3513,2.3182," avg number accesses of icache",1.0227,2.3513,1.3286,0.618715774137581,0.465690030210433
"avg_rename_power_cc2",0.1044,0.1958,0.2408,0.2374," avg power usage of rename unit_cc2",0.1044,0.2408,0.1364,0.0635183962853807,0.46567739212156
"avg_dispatch_power_cc2",0.1044,0.1958,0.2408,0.2374," average power of dispatch unit per cycle_cc2",0.1044,0.2408,0.1364,0.0635183962853807,0.46567739212156
"avg_lsq_power_cc1",0.1734,0.2635,0.293,0.2886," avg power usage of lsq_cc1",0.1734,0.293,0.1196,0.0556872442006845,0.46561240970472
"avg_window_access",4.0981,7.1316,8.4478,8.3284," avg number accesses of instruction window",4.0981,8.4478,4.3497,2.02477199271918,0.465496929148948
"avg_alu_power_cc3",2.7313,3.7424,4.212,4.1729," avg power usage of alu_cc3",2.7313,4.212,1.4807,0.689225983743116,0.465473076074233
"max_cycle_power_cc3",31.7969,34.7984,38.1614,37.7476," maximum cycle power usage of cc3",31.7969,38.1614,6.3645,2.95952520220727,0.465005138220956
"avg_dcache_power_cc3",1.4544,2.2344,2.6558,2.6208," avg power usage of dcache_cc3",1.4544,2.6558,1.2014,0.55829792226015,0.464706111420134
"dcache_power_cc1",48222544.497,40221032.7009,37455275.4655,37876643.0552," total power usage of dcache_cc1",37455275.4655,48222544.497,10767269.0315,5002658.26507058,0.464617188484391
"avg_dcache2_power_cc1",0.0106,0.0194,0.0232,0.0228," avg power usage of dcache2_cc1",0.0106,0.0232,0.0126,0.00585377371160405,0.464585215206671
"issue_stage_power_cc3",160807076.0861,129871987.4895,122529927.6255,124973804.5413," total power usage of issue stage_cc3",122529927.6255,160807076.0861,38277148.4606,17771732.5266321,0.464290921381596
"avg_total_power_insn_cc2",13.0965,9.9044,8.6902,8.5271," average total power per insn_cc2",8.5271,13.0965,4.5694,2.1190059973173,0.463738345804109
"resultbus_power_cc2",13603684.6701,14147374.4027,12699926.5384,14204335.9025," total power usage of resultbus_cc2",12699926.5384,14204335.9025,1504409.3641,697301.743391986,0.463505319783183
"total_power_cycle_cc2",339629823.0042,262866559.4513,235947520.0832,231523648.4813," total power per cycle_cc2",231523648.4813,339629823.0042,108106174.5229,50046767.2355855,0.46294087693376
"avg_bpred_power_cc3",0.7179,0.9391,1.0499,1.063," avg power usage of bpred unit_cc3",0.7179,1.063,0.3451,0.159699433833269,0.462762775523816
"fetch_stage_power_cc1",72960520.2476,48029784.1083,40662277.7359,38639223.3121," total power usage of fetch stage_cc1",38639223.3121,72960520.2476,34321296.9355,15782968.216147,0.459859318422843
"ifq_occupancy",3.8812,3.6763,3.5592,3.5761," avg IFQ occupancy (insn's)",3.5592,3.8812,0.322,0.147984255919338,0.459578434532104
"avg_fetch_power_cc2",2.4797,2.7845,2.8456,2.8053," average power of fetch unit per cycle_cc2",2.4797,2.8456,0.3659,0.167975977945261,0.459076190066304
"avg_issue_power_cc1",9.8553,12.1378,12.7842,12.9932," average power of issue unit per cycle_cc1",9.8553,12.9932,3.1379,1.43839902293024,0.458395430998515
"clock_power_cc2",130840453.0661,103415549.2055,93941285.2899,91473189.5533," total power usage of clock_cc2",91473189.5533,130840453.0661,39367263.5128,18032213.0694754,0.458050965711963
"avg_total_power_cycle_cc2",13.0885,18.5564,20.0263,19.3741," average total power per cycle_cc2",13.0885,20.0263,6.9378,3.17272714907853,0.457310263927835
"avg_total_power_cycle_cc3",17.5296,22.4983,23.8915,23.3073," average total power per cycle_cc3",17.5296,23.8915,6.3619,2.9080397961227,0.45710240590432
"avg_rename_power_cc1",0.357,0.361,0.348,0.343," avg power usage of rename unit_cc1",0.343,0.361,0.018,0.00822090830342567,0.456717127968094
"avg_dispatch_power_cc1",0.357,0.361,0.348,0.343," average power of dispatch unit per cycle_cc1",0.343,0.361,0.018,0.00822090830342567,0.456717127968094
"ruu_occupancy",15.336,14.5645,13.6599,13.3743," avg RUU occupancy (insn's)",13.3743,15.336,1.9617,0.892992856914321,0.455213772194689
