"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"avg_bpred_power_cc1",0.4231,0.4818,0.5151,0.5151," avg power usage of bpred unit_cc1",0.4231,0.5151,0.092,0.0433891979644704,0.471621717005113
"avg_dcache2_power_cc1",0.1926,0.2391,0.2651,0.2651," avg power usage of dcache2_cc1",0.1926,0.2651,0.0725,0.0341891186393176,0.471574050197484
"window_power_cc1",20179.8328,13419.7915,11436.1222,11557.5455," total power usage of instruction window_cc1",11436.1222,20179.8328,8743.7106,4122.2174391952,0.471449436946736
"avg_lsq_power_cc1",0.0547,0.0627,0.0665,0.0665," avg power usage of lsq_cc1",0.0547,0.0665,0.0118,0.00556297282634624,0.471438375114088
"avg_dcache_power_cc1",0.6702,0.7635,0.8123,0.8123," avg power usage of dcache_cc1",0.6702,0.8123,0.1421,0.0669904159811934,0.471431498812058
"avg_dcache2_power_cc2",0.1058,0.1328,0.1468,0.1468," avg power usage of dcache2_cc2",0.1058,0.1468,0.041,0.0193283039435263,0.47142204740308
"avg_dcache2_power_cc3",0.5075,0.5298,0.5413,0.5413," avg power usage of dcache2_cc3",0.5075,0.5413,0.0338000000000001,0.0159338999201911,0.471417157402104
"avg_dcache2_access",0.0503,0.0631,0.0697,0.0697," avg number accesses of dcache2",0.0503,0.0697,0.0194,0.00914549069213894,0.471417045986543
"avg_bpred_power_cc3",0.6329,0.6817,0.7066,0.7066," avg power usage of bpred unit_cc3",0.6329,0.7066,0.0737,0.0347429129463837,0.471409944998423
"sim_IPC",0.4849,0.6034,0.6636,0.6636," instructions per cycle",0.4849,0.6636,0.1787,0.0842405830543292,0.471407851451199
"avg_bpred_power_cc2",0.2226,0.277,0.3046,0.3046," avg power usage of bpred unit_cc2",0.2226,0.3046,0.082,0.0386554006576054,0.471407325092749
"avg_bpred_access",0.0984,0.1225,0.1347,0.1347," avg number accesses of bpred unit",0.0984,0.1347,0.0363,0.0171120571527797,0.471406533134428
"ul2.misses",523,525,526,526," total number of misses",523,526,3,1.4142135623731,0.471404520791032
"mem.ptab_miss_rate",0.0022,0.002,0.0019,0.0019," first level page table miss rate",0.0019,0.0022,3e-04,0.00014142135623731,0.471404520791032
"issue_stage_power_cc1",95931.5026,65738.3142,56530.3365,57029.8222," total power usage of issue stage_cc1",56530.3365,95931.5026,39401.1661,18570.3514280687,0.471314767206058
"clock_power_cc3",78744.9705,65261.2396,60161.1044,60292.6152," total power usage of clock_cc3",60161.1044,78744.9705,18583.8661,8748.22075672559,0.470742778152367
"clock_power",499879.1589,402157.314,366747.7828,368437.5155," total power usage of clock",366747.7828,499879.1589,133131.3761,62546.0782143279,0.469807193815432
"clock_power_cc1",91880.715,59277.4176,49804.6139,51012.104," total power usage of clock_cc1",49804.6139,91880.715,42076.1011,19712.7794873154,0.468502997472724
"issue_stage_power_cc3",88545.7221,79311.3821,76276.4752,76562.7104," total power usage of issue stage_cc3",76276.4752,88545.7221,12269.2469,5746.35979502723,0.468354728033652
"avg_total_power_insn_cc2",10.7972,8.4596,7.1893,7.2382," average total power per insn_cc2",7.1893,10.7972,3.6079,1.68956770679169,0.468296711879955
"avg_total_power_insn_cc3",22.015,17.3249,14.702,14.8068," average total power per insn_cc3",14.702,22.015,7.313,3.42377191255006,0.468176112751272
"avg_regfile_power_cc3",0.4013,0.4557,0.4637,0.4672," avg power usage of arch. regfile_cc3",0.4013,0.4672,0.0659,0.0308280581072935,0.467800578259386
"avg_total_power_insn",139.6121,105.6264,88.2161,89.0355," average total power per insn",88.2161,139.6121,51.396,24.0375002397469,0.467692042955618
"total_power_cycle_cc2",106103.7057,88462.446,82217.2517,82775.8819," total power per cycle_cc2",82217.2517,106103.7057,23886.454,11171.4503033004,0.467689775271808
